Keyword,Avg Monthly Searches,Group,Search Intent,Page Type,Target URL,Title Idea,Status,Notes
"corporate event venue nyc","22,200",Main - Corporate,Transactional,Event Type Page,/events/corporate,"Corporate Event Venue Wall Street | Conference Space Financial District NYC",Active,Already set as page title
"venues for corporate events","22,200",Supporting - Corporate,Transactional,Event Type Page,/events/corporate,"Corporate Event Venue Wall Street | Conference Space Financial District NYC",Active,High volume — reinforce in H1 and body copy
"corporate party venue","2,400",Supporting - Corporate,Transactional,Event Type Page,/events/corporate,"Corporate Event Venue Wall Street | Conference Space Financial District NYC",Active,Use in first paragraph
"corporate party venues","2,400",Supporting - Corporate,Transactional,Event Type Page,/events/corporate,"Corporate Event Venue Wall Street | Conference Space Financial District NYC",Active,
"venues for corporate parties","2,400",Supporting - Corporate,Transactional,Event Type Page,/events/corporate,"Corporate Event Venue Wall Street | Conference Space Financial District NYC",Active,
"corporate conference venues","2,400",Supporting - Corporate,Transactional,Conferences Page,/events/conferences,"Corporate Conference Venue NYC | Meetings & Events | Financial District",Active,
"conference venue rental","8,100",Main - Conferences,Transactional,Event Type Page,/events/conferences,"Conference Venue NYC | Meeting Space Rental | 48 Wall Street Financial District",Active,High-value transactional — add to meta description
"conferences venues","8,100",Supporting - Conferences,Transactional,Event Type Page,/events/conferences,"Conference Venue NYC | Meeting Space Rental | 48 Wall Street Financial District",Active,
"venue for conference","8,100",Supporting - Conferences,Transactional,Event Type Page,/events/conferences,"Conference Venue NYC | Meeting Space Rental | 48 Wall Street Financial District",Active,
"meeting venues","18,100",Supporting - Conferences,Transactional,Event Type Page,/events/conferences,"Conference Venue NYC | Meeting Space Rental | 48 Wall Street Financial District",Active,
"conference centers near me","5,400",Supporting - Conferences,Transactional,Event Type Page,/events/conferences,"Conference Venue NYC | Meeting Space Rental | 48 Wall Street Financial District",Active,
"meeting spaces","5,400",Supporting - Conferences,Transactional,Event Type Page,/events/conferences,"Conference Venue NYC | Meeting Space Rental | 48 Wall Street Financial District",Active,
"meeting space rentals near me","5,400",Supporting - Conferences,Transactional,Event Type Page,/events/conferences,"Conference Venue NYC | Meeting Space Rental | 48 Wall Street Financial District",Active,
"holiday party venue nyc","N/A",Main - Holiday,Transactional,Event Type Page,/events/holiday-events,"Holiday Party Venue on Wall Street | Corporate Holiday Event Space NYC",Active,In page keywords — reinforce in body
"corporate holiday party nyc","N/A",Supporting - Holiday,Transactional,Event Type Page,/events/holiday-events,"Holiday Party Venue on Wall Street | Corporate Holiday Event Space NYC",Active,
"office holiday party nyc","N/A",Supporting - Holiday,Transactional,Event Type Page,/events/holiday-events,"Holiday Party Venue on Wall Street | Corporate Holiday Event Space NYC",Active,
"company holiday event venue","N/A",Supporting - Holiday,Transactional,Event Type Page,/events/holiday-events,"Holiday Party Venue on Wall Street | Corporate Holiday Event Space NYC",Active,
"christmas party venue nyc","N/A",Supporting - Holiday,Transactional,Event Type Page,/events/holiday-events,"Holiday Party Venue on Wall Street | Corporate Holiday Event Space NYC",Active,Seasonal — boost Oct-Dec
"end of year party venue nyc","N/A",Supporting - Holiday,Transactional,Event Type Page,/events/holiday-events,"Holiday Party Venue on Wall Street | Corporate Holiday Event Space NYC",Active,
"holiday gala venue","N/A",Question - Holiday,Informational,Event Type Page,/events/holiday-events,"Holiday Party Venue on Wall Street | Corporate Holiday Event Space NYC",Active,
"non-profit event venue nyc","N/A",Main - Non-Profit,Transactional,Event Type Page,/events/non-profit,"Non-Profit Event Venue Lower Manhattan | Fundraising Gala Space NYC",Active — BUG,Keywords currently set to wedding keywords — MUST FIX
"fundraising gala venue nyc","N/A",Supporting - Non-Profit,Transactional,Event Type Page,/events/non-profit,"Non-Profit Event Venue Lower Manhattan | Fundraising Gala Space NYC",Active — BUG,Fix keywords in layout.tsx
"charity event venue manhattan","N/A",Supporting - Non-Profit,Transactional,Event Type Page,/events/non-profit,"Non-Profit Event Venue Lower Manhattan | Fundraising Gala Space NYC",Active — BUG,
